"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","Get not existing pet","tests.pet","Thu Jul 23 02:59:23 UTC 2026","passed","Thu Jul 23 02:59:23 UTC 2026","TestPet","test_pet","",""
"","37","Get user by username","tests.user","Thu Jul 23 02:59:24 UTC 2026","passed","Thu Jul 23 02:59:24 UTC 2026","TestUser","test_user","",""
"","209","Login with invalid credentials","tests.user","Thu Jul 23 02:59:25 UTC 2026","skipped","Thu Jul 23 02:59:25 UTC 2026","TestUser","test_user","",""
"","111","Get pet by status","tests.pet","Thu Jul 23 02:59:22 UTC 2026","passed","Thu Jul 23 02:59:22 UTC 2026","TestPet","test_pet","",""
"","235","Create a new pet","tests.pet","Thu Jul 23 02:59:21 UTC 2026","passed","Thu Jul 23 02:59:21 UTC 2026","TestPet","test_pet","",""
"","73","Update existing user","tests.user","Thu Jul 23 02:59:24 UTC 2026","passed","Thu Jul 23 02:59:24 UTC 2026","TestUser","test_user","",""
"","38","Update existing pet","tests.pet","Thu Jul 23 02:59:22 UTC 2026","passed","Thu Jul 23 02:59:22 UTC 2026","TestPet","test_pet","",""
"","118","Login with invalid credentials","tests.user","Thu Jul 23 02:59:25 UTC 2026","skipped","Thu Jul 23 02:59:25 UTC 2026","TestUser","test_user","",""
"","142","Login with invalid credentials","tests.user","Thu Jul 23 02:59:26 UTC 2026","skipped","Thu Jul 23 02:59:26 UTC 2026","TestUser","test_user","",""
"","142","Create pet with invalid data","tests.pet","Thu Jul 23 02:59:22 UTC 2026","passed","Thu Jul 23 02:59:23 UTC 2026","TestPet","test_pet","",""
"","146","Create a new order","tests.store","Thu Jul 23 02:59:23 UTC 2026","passed","Thu Jul 23 02:59:23 UTC 2026","TestStoreOrder","test_store","",""
"","128","Get non-existing order","tests.store","Thu Jul 23 02:59:24 UTC 2026","passed","Thu Jul 23 02:59:24 UTC 2026","TestStoreOrder","test_store","",""
"","178","Create a new user","tests.user","Thu Jul 23 02:59:24 UTC 2026","passed","Thu Jul 23 02:59:24 UTC 2026","TestUser","test_user","",""
"","77","Delete pet","tests.pet","Thu Jul 23 02:59:22 UTC 2026","passed","Thu Jul 23 02:59:22 UTC 2026","TestPet","test_pet","",""
"","39","Get order by ID","tests.store","Thu Jul 23 02:59:23 UTC 2026","passed","Thu Jul 23 02:59:23 UTC 2026","TestStoreOrder","test_store","",""
"","74","Delete user","tests.user","Thu Jul 23 02:59:25 UTC 2026","passed","Thu Jul 23 02:59:25 UTC 2026","TestUser","test_user","",""
"","186","Create order with invalid data","tests.store","Thu Jul 23 02:59:23 UTC 2026","passed","Thu Jul 23 02:59:24 UTC 2026","TestStoreOrder","test_store","",""
"","79","Delete order","tests.store","Thu Jul 23 02:59:23 UTC 2026","passed","Thu Jul 23 02:59:23 UTC 2026","TestStoreOrder","test_store","",""
"","143","Logout user","tests.user","Thu Jul 23 02:59:25 UTC 2026","passed","Thu Jul 23 02:59:25 UTC 2026","TestUser","test_user","",""
"","34","Login user with valid credentials","tests.user","Thu Jul 23 02:59:25 UTC 2026","passed","Thu Jul 23 02:59:25 UTC 2026","TestUser","test_user","",""
"","43","Get pet by ID","tests.pet","Thu Jul 23 02:59:22 UTC 2026","passed","Thu Jul 23 02:59:22 UTC 2026","TestPet","test_pet","",""
